air_date,round,category,value,question,answer
3/4/04,Final Jeopardy!,FAMOUS LASTS,,"In July 2003 the last old-style one of these rolled off an assembly line in Mexico, headed for a museum in Germany",the Volkswagen Beetle
11/9/00,Final Jeopardy!,PRESIDENTIAL PETS,,"As a warning to Congress, president James Garfield named his dog this",Veto
11/27/06,Final Jeopardy!,FIRST NAMES,,"The first name of both a naval hero & a character in ""Hamlet"", it's from the Latin for ""timekeeper""",Horatio
6/21/05,Final Jeopardy!,U.S. COLLEGE TOWNS,,This 2-word city is named for the founders' wives (they had the same name) & the natural groves found there,"Ann Arbor, Michigan"
5/10/11,Final Jeopardy!,THE NATIONAL STATUARY HALL COLLECTION,,"In 2009 Alabama replaced a statue in the collection with one of her at age 7, the first child honored",Helen Keller
1/1/09,Final Jeopardy!,GAMES,,"In German, this chess piece is ""der Springer""",the knight
12/21/98,Final Jeopardy!,TOYS,,"While making a torsion meter, an engineer got the idea for this classic toy",Slinky
4/29/08,Final Jeopardy!,BASEBALL TERMS,,"Hall of Famer Willie Stargell called it ""a butterfly with hiccups""",a knuckleball
5/27/98,Final Jeopardy!,COMPOSERS,,One of his most famous works had its premiere on a barge in 1717,George Frideric Handel (the Water Music)
4/13/06,Final Jeopardy!,'60s NOVELS' FIRST LINES,,"It begins, ""Amerigo Bonasera... waited for justice; vengeance on the men who had so cruelly hurt his daughter""",The Godfather
5/17/11,Final Jeopardy!,FICTIONAL CHARACTERS,,"The first words he ever spoke to his assistant were ""How are you?... You have been in Afghanistan, I perceive""",Sherlock Holmes
1/20/09,Final Jeopardy!,GEOGRAPHIC PROCESS OF ELIMINATION,,"This country borders the most ""stan""s: Afghanistan, Kazakhstan, Kyrgyzstan, Tajikistan & Turkmenistan",Uzbekistan
2/27/07,Final Jeopardy!,PHRASE ORIGINS,,"Meaning ""not working properly"", it may date back to a character in the comic strip ""The Katzenjammer Kids""",on the fritz
11/12/91,Final Jeopardy!,SOUTH AFRICA,,"The University of Cape Town is on the grounds of Groote Schuur, the former home of this statesman",Cecil Rhodes
5/27/99,Final Jeopardy!,DIRECTORS & THEIR FILMS,,1 of the 2 '90s films by German director Wolfgang Petersen concerned with a U.S. president's safety,(1 of) Air Force One & In the Line of Fire
11/8/10,Final Jeopardy!,AMERICAN BUSINESS,,"The mailing address for this company is P.O. Box 57, Pittsburgh, Pennsylvania 15230",Heinz
3/5/03,Final Jeopardy!,CLASSIC SONGS,,"Originally called ""Prima Donna"", it was renamed for a Renaissance painting & won an Oscar","\""Mona Lisa\"""
11/10/00,Final Jeopardy!,ANNUAL EVENTS,,"This annual event was co-created in 1993 by Marie C. Wilson, mother of 5 & president of the National Ms. Foundation","\""Take Your Daughter to Work\"" Day"
7/1/93,Final Jeopardy!,BUSINESS & INDUSTRY,,The Brooklyn Flint Glass Works changed its name to this after moving to a N.Y. town of the same name,Corning
5/27/08,Final Jeopardy!,FILMS OF THE 1950s,,The action in this film begins at 10:30 A.M. & plays out in almost-real time until 12:15,High Noon
2/14/06,Final Jeopardy!,NOTABLE AMERICAN WOMEN,,In 2004 & 2005 this former university provost topped Forbes' list of the 100 most powerful women in the world,Condoleezza Rice
4/9/91,Final Jeopardy!,WORLD LEADERS,,"This woman, elected president of Ireland in 1990, used a 1968 Simon & Garfunkel hit in her campaign",Mary Robinson
1/7/11,Final Jeopardy!,WORLD LANGUAGES,,"Of all the countries with Spanish as an official language, this one is last alphabetically",Venezuela
6/3/09,Final Jeopardy!,20th CENTURY AMERICANS,,"Rhyming last names of the 2 men pictured <a href=""http://www.j-archive.com/media/2009-06-03_FJ.jpg"" target=""_blank"">here</a>, who had two very different professions",Barrow & Darrow
3/16/09,Final Jeopardy!,BRITISH PAINTERS,,"Tennyson called this British painter, Constable's contemporary, the ""Shakespeare of Landscape""",William Turner
1/19/96,Final Jeopardy!,20th CENTURY LEADERS,,"His name means ""son of the young lion"" in Hebrew",David Ben-Gurion
5/17/04,Final Jeopardy!,THE 50 STATES,,"The USA's most-climbed mountain, Monadnock, is in this state associated with rock",New Hampshire
4/27/09,Final Jeopardy!,MOVIE DIRECTORS,,"Since 1971 he has directed only 6 films, but those 6 have averaged more than $283 million each at the box office",George Lucas
11/13/95,Final Jeopardy!,THE ELEMENTS,,"At its standard mass, it puts the red in red fireworks; its 90 isotope is found in nuclear fallout",Strontium
3/25/05,Final Jeopardy!,12-LETTER WORDS,,A chemist in the 1920s coined this term after finding lavender oil not only hid the odor of his burnt hand but also healed it,aromatherapy
6/7/07,Final Jeopardy!,ARTISTS,,"One of his last letters said, ""I am risking my life for (my work) and my reason has half-foundered owing to it...""",Vincent Van Gogh
4/25/03,Final Jeopardy!,OCCUPATIONS,,"Called the first U.S. stewardess, Ellen Church later went back to this old job, something the 1st stews had to be",nurse
11/15/00,Final Jeopardy!,ROYAL RESIDENCES,,The only palaces on U.S. soil that were built for monarchs are found in this state,Hawaii
10/5/92,Final Jeopardy!,LANGUAGES,,The 2 languages on the Rosetta Stone,Egyptian & Greek
3/13/97,Final Jeopardy!,U.S. PRESIDENTS,,The first & last to preside over exactly 48 states,William Howard Taft & Dwight Eisenhower
5/20/99,Final Jeopardy!,AMERICAN FOLKLORE,,Name of the animal that measured 42 axe handles & 1 plug of chewing tobacco between the horns,Babe the Blue Ox
9/15/10,Final Jeopardy!,MONARCHS,,"From 1513 to 1972, only men named Christian & Frederick alternated as rulers of this nation",Denmark
9/29/99,Final Jeopardy!,MAGAZINES,,"Conde Nast's Feb./Mar. 1999 issue of its magazine for these title people was a Guinness record 1,242 pages",Brides (who are planning a June wedding)
11/19/08,Final Jeopardy!,NONFICTION WRITERS,,"On July 21, 1944 she wrote, ""I'm finally getting optimistic... an assassination attempt has been made on Hitler's life""",Anne Frank
10/29/10,Final Jeopardy!,NO. 1 HITS,,"Topping the charts on Oct. 20, 1962, this novelty song is the only No. 1 hit to have the word ""electrodes"" in the lyrics",The Monster Mash
10/4/00,Final Jeopardy!,WORLD GEOGRAPHY,,It's the only mainland country in the Western Hemisphere that borders only one country,Canada
4/8/91,Final Jeopardy!,U.S. GOVERNMENT,,Connecticut was the last of the original 13 states to ratify this & didn�۪t do it until 1939,the Bill of Rights
3/2/11,Final Jeopardy!,LANDMARKS,,"Completed in 1869, it has also been known by its nickname ""the Highway to India""",the Suez Canal
9/6/02,Final Jeopardy!,SPORTS STARS,,He's the only athlete in history to play in both the Super Bowl & the World Series,Deion Sanders
3/24/09,Final Jeopardy!,BRITISH ROYALTY,,"Born in 1683, the second British king of this name was the last one not born in the British Isles",George
5/29/07,Final Jeopardy!,NOTABLE WOMEN,,"On Jan. 4, 2007, she said, ""For our daughters & our granddaughters, today we have broken the marble ceiling""",Nancy Pelosi
11/19/98,Final Jeopardy!,LANDMARKS,,Plans are for steel cables to temporarily replace the over 800 tons of lead that counterbalance it,The Leaning Tower of Pisa
9/8/08,Final Jeopardy!,THE VATICAN,,A statue of this man is being erected inside the Vatican's walls near where he was locked up in 1633,Galileo
7/15/10,Final Jeopardy!,FAMOUS TEXTS,,"Tradition says the author of this work was the sage Vatsyayana; surprisingly, he was celibate",the Kama Sutra
2/28/06,Final Jeopardy!,TREES,,"To honor a Cherokee leader who died in 1843, a European botanist proposed this name for a tree",Sequoia
12/2/08,Final Jeopardy!,BREAKFAST CEREALS,,"The first & middle names of this breakfast cereal ""spokesman"" are Horatio Magellan",Cap'n Crunch
6/25/01,Final Jeopardy!,OPERATIC TITLE CHARACTERS,,These title characters of a classic operatic work are a bunch of mythical dwarves,The Nibelung
12/6/84,Final Jeopardy!,WORLD HISTORY,,In 1804 this Caribbean country became 1st black nation to gain freedom from European colonial rule,Haiti
3/10/11,Final Jeopardy!,20th CENTURY PRESIDENTIAL ELECTIONS,,"The last time the Democratic & Republican nominees had once been governor of the same state, this was the state",New York
5/6/02,Final Jeopardy!,U.S. CITIES,,"Founded in 1758, it's named for a British prime minister who was a noted defender of the American Colonists",Pittsburgh
5/23/90,Final Jeopardy!,BRITISH HISTORY,,The 14th Earl of this was prime minister in 1852; the 12th Earl of this had a race named for him,Earl of Derby
7/14/97,Final Jeopardy!,WORLD CAPITALS,,The Spaniards named it for the Virgin of the Fair Winds for bringing them safely across the Atlantic,Buenos Aires
12/18/08,Final Jeopardy!,HISTORIC AMERICAN QUOTATIONS,,"On April 29, 1861 he said, ""We seek no conquest��_all we ask is to be let alone""",Jefferson Davis
4/11/08,Final Jeopardy!,WORLD HISTORY,,Beginning in 1932 all this country's kings have been the country's founder or his sons,Saudi Arabia
5/5/99,Final Jeopardy!,WORLD LITERATURE,,A war described in this 1726 novel began over an argument about how to crack open an egg,"\""Gulliver's Travels\"""
4/11/01,Final Jeopardy!,BIBLICAL GEOGRAPHY,,"During Absalom's rebellion, David took refuge in this region that's east of the Jordan & known for its balm",Gilead
5/11/11,Final Jeopardy!,20th CENTURY NOVELS,,"""A Girl from a Different World"" & ""Train to the Urals"" are chapters in this 1957 work",Doctor Zhivago
7/19/99,Final Jeopardy!,PLACE NAMES,,"Its original name, Wai Momi, & its current name both come from the valuable mollusks once found there",Pearl Harbor
3/22/11,Final Jeopardy!,GARMENTS OF THE WORLD,,"The custom of hijab, Arabic for ""veiling"", can include this garment, mentioned by Kipling",the burqa
11/18/02,Final Jeopardy!,THE PRESIDENCY,,He was the first man to become U.S. president as a result of the 25th Amendment,Gerald Ford
12/20/01,Final Jeopardy!,MOVIE SOUNDTRACKS,,This 2000 film was the first drama to have an authorized Led Zeppelin tune on its soundtrack,Almost Famous
10/14/98,Final Jeopardy!,ROCK & ROLL HISTORY,,"The name ""Beatles"" was inspired by the backup group of this singer",Buddy Holly (his backup group was called The Crickets)
4/8/09,Final Jeopardy!,FILM QUOTES,,"From a 1942 movie, No. 2 on Guinness' top 10 film quotes is a line that mentions this liquor",gin
4/2/93,Final Jeopardy!,THE TONY AWARDS,,"He won his first of 9 Tonys for the first Broadway musical he choreographed, ""The Pajama Game""",Bob Fosse
5/28/98,Final Jeopardy!,COUNTRIES OF THE WORLD,,"The 3 most populous countries, they added up to an estimated 2.42 billion people in 1996","China, India, & the USA"
12/24/07,Final Jeopardy!,SPACE MEN,,"He was the oldest man to walk on the Moon, & the only World War II veteran",Alan Shepard
4/22/10,Final Jeopardy!,TELECOMMUNICATIONS TERMINOLOGY,,In 1992 New York got the first one: 917,an overlay area code
4/1/10,Final Jeopardy!,LITERARY INFLUENCES,,"A 1919 Shaw play subtitled ""A Fantasia in the Russian Manner..."" is an homage to this playwright who died in 1904",Anton Chekhov
12/22/97,Final Jeopardy!,U.S. PRESIDENTS,,"Although he graduated 64th out of 112 in his 1935 high school class, he was voted ""Most Likely To Succeed""",John Fitzgerald Kennedy
11/28/84,Final Jeopardy!,TRAVEL & TOURISM,,"City that boasts the tallest U.S. monument, completed in 1965",St. Louis
1/22/98,Final Jeopardy!,SYNTHETICS,,The name of this common kitchen material comes from its use in place of a mineral,Formica
10/18/00,Final Jeopardy!,ATHLETIC ACHIEVEMENTS,,It took nearly 22 hours to achieve this in 1875; in 1994 it took only 7 hours & 17 minutes,Swimming across the English Channel
6/4/08,Final Jeopardy!,ENTERTAINERS,,In 2007 this entertainer & former sitcom star was made an honorary corporal by the U.S. Marine Corps,Jim Nabors
11/25/04,Final Jeopardy!,POLITICAL WORDS & PHRASES,,"Teddy Roosevelt used this boxing phrase to announce his 1912 candidacy & said, ""The fight is on & I'm stripped to the buff""","\""Throw a hat in the ring\"""
6/18/97,Final Jeopardy!,THE PLANETS,,Most of this planet's moons are named for Shakespearean characters,Uranus
9/8/98,Final Jeopardy!,LITERARY GREATS,,"His last published work, an 1898 poem, was first issued under his cell number","Oscar Wilde (\""The Ballad of Reading Gaol\"")"
9/5/00,Final Jeopardy!,THE INTERNET,,"Among suffixes, .mx is Mexico, .jp is Japan, & in March 2000 .ps was assigned to this",Palestine
7/23/09,Final Jeopardy!,FOOD,,This cheese was created in 1892 by Emil Frey & named for a New York singing society whose members loved the cheese,Liederkranz
12/6/99,Final Jeopardy!,HISTORIC WOMEN,,"In 1998 the director of the U.S. Mint called her ""A woman of exemplary physical courage and stamina""",Sacajawea
4/3/98,Final Jeopardy!,PLAYS,,"Based on a myth, this 1913 play became a 1938 movie, a 1956 stage musical & a 1964 movie musical",Pygmalion
4/7/10,Final Jeopardy!,CELEBRITY NAMES,,This Oscar winner who had his own WB sitcom took his last name as a tribute to an earlier comic & sitcom star,Jamie Foxx
3/7/07,Final Jeopardy!,BRITISH NOVELISTS,,"In 1946 he wrote, ""Political language... is designed to make lies sound truthful & murder respectable""",George Orwell
1/15/01,Final Jeopardy!,DESIGN,,"Introduced to desktops in 1950, it was designed by Arnold Neustadter & featured a ball-bearing clutch",Rolodex
4/7/09,Final Jeopardy!,SPORTS VENUES,,"The last names found on these 2 sports venues, both in Queens, are anagrams of each other",Arthur Ashe Stadium & Shea Stadium
7/7/11,Final Jeopardy!,20th CENTURY HISTORY,,"On September 2, 1945 New Zealand Air Marshal Leonard Isitt put the final signature on the document that ended this",World War II
11/12/86,Final Jeopardy!,MAN IN SPACE,,"Now seen as a TV spokesman, he was only astronaut to orbit earth in Mercury, Gemini, & Apollo craft",Wally Schirra
12/28/09,Final Jeopardy!,AMERICAN HISTORY,,"On April 14, 1865 Abraham Lincoln authorized this govt. agency; its main job then was to protect against counterfeiting",the Secret Service
1/27/11,Final Jeopardy!,SPORTS AWARDS,,"In the 4 major U.S. sports leagues, he's won more regular season MVP awards than any other player",Wayne Gretzky
4/13/11,Final Jeopardy!,NOBEL PEACE PRIZE WINNERS,,The 2 Middle East prime ministers of the same country who shared the 1994 Nobel Peace Prize with another leader,Shimon Peres & Yitzhak Rabin
10/25/04,Final Jeopardy!,HISTORIC FIRSTS,,The brother of this leader is believed to be the first known European to have died in the Americas,Leif Ericson
2/3/06,Final Jeopardy!,NOTABLE WOMEN,,"In 1967 Dame Cicely Saunders founded St. Christopher's, the first modern one of these; in 2005 she died there",a hospice
5/14/03,Final Jeopardy!,WORLD GEOGRAPHY,,Heads of state Jiang Zemin & Jorge Sampaio were on hand when this territory changed hands in Dec. 1999,Macau
3/3/00,Final Jeopardy!,FAMOUS AMERICANS,,"He coined the term ""usonian"" for his U.S. designs that were meant to bring beauty & humanity to ordinary people",Frank Lloyd Wright
11/12/07,Final Jeopardy!,ENGLISH LANGUAGE WRITERS,,"In his journal of 1710 to 1713, he referred to himself as ""Presto""",Jonathan Swift
10/20/09,Final Jeopardy!,MUSICAL INSTRUMENTS,,"In the early 18th c. Sylvius Leopold Weiss wrote works for <a href=""http://www.j-archive.com/media/2009-10-20_FJ.mp3"">these</a> 2 instruments whose names rhyme",the flute & the lute
6/2/97,Final Jeopardy!,WORLD LEADERS,,This world leader was the recipient of an Obie Award in 1984,Vaclav Havel
4/24/03,Final Jeopardy!,POLITICAL JARGON,,This 2-word term was first used to describe advisors who spoke to the press after a 1984 Reagan-Mondale debate,spin doctors
1/24/12,Final Jeopardy!,ISLANDS,,The Carabelli & Durazzo families are considered the Hatfields & McCoys of this island,Corsica
12/26/08,Final Jeopardy!,HISTORIC NAMES,,"A recent biography of this 13th century man is subtitled ""From Venice to Xanadu""",Marco Polo
9/24/09,Final Jeopardy!,FROM PAGE TO SCREEN,,"A 13-page document typed on April 18, 1945 with the names of 801 men inspired a 1982 book & this 1993 film",Schindler's List
1/9/98,Final Jeopardy!,NATIONAL ANTHEMS,,"New Zealand has 2 national anthems, ""God Defend New Zealand"" & this","\""God Save the Queen\"""
3/28/08,Final Jeopardy!,PROS & CONS IN HISTORY,,"The two 3-letter words applied to those for & against the 18th Amendment, & states with differing laws on the issue",dry & wet
12/17/97,Final Jeopardy!,PATRON SAINTS,,Legend says Saint Rule brought this saint's relics to the coast of Fife in 368,St. Andrew
5/30/05,Final Jeopardy!,LEGAL TERMS,,"In 1999 Britain replaced Latin legal terms with English ones; ""witness summons"" replaced this word",subpoena
11/26/09,Final Jeopardy!,ENGINEERING FEATS,,"In 1937 its chief engineer wrote a poem about it, mentioning its ""titan piers"" & the ""Redwood Empire"" to the north",the Golden Gate Bridge
12/25/02,Final Jeopardy!,ISLAND COUNTRIES,,"In 2002 State Dept. spokesman Richard Boucher called it ""The first new nation of the new millennium""",East Timor
6/21/06,Final Jeopardy!,AUTHORS,,"Author seen <a href=""http://www.j-archive.com/media/2006-06-21_FJ.jpg"" target=""_blank"">here</a> with his son",A.A. Milne
10/31/08,Final Jeopardy!,MOVIE MAKERS & REMAKERS,,Howard Hawks directed this film with Paul Muni as Tony Camonte; Brian De Palma remade it,Scarface
11/12/87,Final Jeopardy!,AMERICAN INDIANS,,This famed Sauk Indian had both a war and a pro sports team named for him,Black Hawk
11/16/95,Final Jeopardy!,STATE CAPITALS,,This state capital was a compromise choice between North Platters & South Platters,"Lincoln, Nebraska"
5/28/04,Final Jeopardy!,THE INTERNET,,"Among 2-letter country codes in Internet addresses, ""de"" is Germany, ""kh"" is Cambodia & ""es"" is this country",Spain (Espa̱a)
11/3/99,Final Jeopardy!,ADVERTISING,,"In Scandinavian countries these characters are known as Pif, Paf & Pof","Snap, Crackle & Pop (from Rice Krispies)"
7/5/11,Final Jeopardy!,HISTORIC AMERICANS,,"An education center at his historic home includes galleries called ""First in War"" & ""A Leader's Smile""",George Washington
12/10/02,Final Jeopardy!,THE SPACE PROGRAM,,In 1979 NASA officials received a fine for littering from a small town in this country,Australia
3/8/01,Final Jeopardy!,U.S. HISTORY,,This president signed the bill to create a transcontinental railroad; he didn't live to see its completion,Abraham Lincoln
4/16/99,Final Jeopardy!,AUTHORS,,"In January 1999 this author issued a public statement reminding the world the third millennium really begins Jan. 1, 2001",Arthur C. Clarke
9/10/96,Final Jeopardy!,RELIGION,,"On Dec. 19, 1894 2 books were formally ordained as the impersonal pastor of this denomination",Christian Scientist
11/16/11,Final Jeopardy!,INTERNATIONAL BUSINESS,,"Still in existence, it begin in 1688 in a British coffee shop popular with maritime folk; it soon got involved in their business",Lloyd's of London
12/6/05,Final Jeopardy!,NAMES OF THE 1930s,,"A famous 1936 speech by this man began, ""At long last, I am able to say a few words of my own""",King Edward VIII
10/25/06,Final Jeopardy!,THE 1850s,,"He published a book of prose & verse quotes ""to trace to their source passages and phrases in common use""",John Bartlett
4/8/03,Final Jeopardy!,OSCAR-WINNING FILMS,,"This 1995 double Oscar winner takes its title from a line used by Claude Rains in 1942's ""Casablanca""",The Usual Suspects
10/11/02,Final Jeopardy!,FAMOUS AMERICANS,,"In 1785 he wrote that ""After fifty years' service in public affairs"", he wanted to ""make plenty of experiments""",Benjamin Franklin
1/19/06,Final Jeopardy!,HIT SONGS,,This No. 1 hit from 1968 was part of a hit film's soundtrack & was originally written about Eleanor Roosevelt,"\""Mrs. Robinson\"""
6/28/00,Final Jeopardy!,THE PULITZER PRIZES,,"The first man to win the Pulitzer Prize for his film criticism, he's lobbied for a Pulitzer Prize for the movies",Roger Ebert
11/16/00,Final Jeopardy!,HISTORIC TITLES,,"Since 1578, only 14 men have held this title, including a 1989 Nobel Prize winner",The Dalai Lama
1/26/90,Final Jeopardy!,AMERICAN AUTHORS,,"He died at age 28,  just 5 years after his Civil War novel was published","Stephen Crane (\""The Red Badge of Courage\"")"
11/28/01,Final Jeopardy!,ACTRESSES,,"In 1999 Liz Smith quoted her as saying, ""I look at the Empire State Building and I feel like it belongs to me""",Fay Wray
6/16/97,Final Jeopardy!,COUNTRIES OF THE WORLD,,"Before its independence, this country was known as the Netherlands East Indies",Indonesia
6/22/99,Final Jeopardy!,HISTORIC DATES,,"On this date a record 10,471 flags were flown above the U.S. Capitol, one at a time","July 4, 1976 (the Bicentennial)"
11/21/05,Final Jeopardy!,NAME THE POEM,,"""He is all pine and I am apple orchard.  My apple trees will never get across and eat the cones under his pines""","\""Mending Wall\"" (by Robert Frost)"
6/10/05,Final Jeopardy!,PRESIDENTS,,The last time there were no living ex-presidents was when this man was president,Richard Nixon
1/2/07,Final Jeopardy!,HOLIDAY STUFF,,"In an 1850 essay Charles Dickens called it ""that pretty German toy""",a Christmas Tree
9/21/99,Final Jeopardy!,TREES,,"This type of tree that includes the pecan is common in the eastern U.S., is noted for toughness & can live to 300",Hickory
12/5/07,Final Jeopardy!,BRITISH ENTREPRENEURS,,In 1839 Queen Victoria awarded him the first ever license to deliver mail across the Atlantic,(Samuel) Cunard
6/1/90,Final Jeopardy!,FAMOUS WOMEN,,"While a regular on Major Bowes' radio show, she said, ""I'm 7 years old & I can sing 23 arias.""","Beverly \""Bubbles\"" Sills"
3/11/04,Final Jeopardy!,BRAND NAMES,,"Benjamin Green's work with cocoa butter led to this brand that, ironically, may be used to prevent what's in its name",Coppertone
11/2/01,Final Jeopardy!,U.S. PRESIDENTS,,Washington was the one who added these 4 words to the presidential oath; they're not in the Constitution,"\""So Help Me God\"""
11/20/92,Final Jeopardy!,PRESIDENTS' HOMES,,The exterior of the governor's mansion in Florida is modeled after the home of this president,Andrew Jackson
12/16/11,Final Jeopardy!,WORD HISTORY,,A Roman legal term for a debtor sentenced to servitude is the origin of this term for a slave to a vice,addict
11/4/98,Final Jeopardy!,MUSEUMS,,"Its museums include the Borgia Apartments, the Etruscan Museum & the Raphael Rooms",The Vatican
3/24/08,Final Jeopardy!,THE SOCIAL SCIENCES,,"Coined in 1899, this word suggests that things like rivers & boundaries affect nations' foreign affairs",geopolitics
11/6/86,Final Jeopardy!,BUSINESS & INDUSTRY,,This company's figures show about 7% of present U.S. work force got its start working for them,McDonald's
10/8/98,Final Jeopardy!,U.S. PRESIDENTS,,He was the last man elected president who had served as a U.S. Senator,Richard M. Nixon
2/28/05,Final Jeopardy!,COLLEGE LIBRARIES,,"Built in memory of a victim of this tragedy, Harvard's Widener Library was opened in 1915",the sinking of the Titanic
4/22/87,Final Jeopardy!,THE OSCARS,,The last movie in black & white to win Best Picture was this 1960 Billy Wilder film,The Apartment
5/3/99,Final Jeopardy!,ORGANIZATIONS,,"In 1901 Milwaukee, Detroit, Cleveland, Chicago, Boston, D.C., Baltimore & Philadelphia made up this; Tampa Bay joined in 1998",the American League
9/29/04,Final Jeopardy!,19th CENTURY NAMES,,"Once known as ""the handsomest man in America"", he performed his last play, ""The Apostate"", on March 18, 1865",John Wilkes Booth
6/7/06,Final Jeopardy!,CANADIAN POSTAL ABBREVIATIONS,,It's the only Canadian province or territory whose 2-letter postal abbreviation is a preposition,Ontario
3/21/08,Final Jeopardy!,WORLD LITERATURE,,"""If he has a conscience he will suffer for his mistake"" refers to a murderer in this 1866 novel",Crime and Punishment
6/27/06,Final Jeopardy!,FILMS OF THE '60s,,Peter O'Toole was Oscar-nominated for playing the same king in these 2 movies,Becket & The Lion in Winter
4/6/88,Final Jeopardy!,WORLD TRADE,,"Of all fresh fruits, the U.S. imports more of this one than any other",bananas
1/23/06,Final Jeopardy!,GEM LORE,,"In Greek myth this gem was ""created"" by tears of wine from Dionysus that stained the quartz statue of a maiden",the amethyst
12/21/07,Final Jeopardy!,POETS,,"Fired from a job for laziness, he wrote, ""I lean and loafe at my ease observing a spear of summer grass""",Walt Whitman
10/14/11,Final Jeopardy!,THE WESTERN HEMISPHERE,,This nation lost its direct access to the Pacific around 1880 but retains a navy that patrols its rivers & a large lake,Bolivia
12/1/97,Final Jeopardy!,POLITICAL ANAGRAMS,,"20th century world leader whose name is an anagram of ""That Great Charmer""",Margaret Thatcher
5/19/92,Final Jeopardy!,ARTISTS,,"2 of his major works are ""Synagogue at Safed"" (1931) & ""King David"" (1951)",Chagall
3/15/07,Final Jeopardy!,NOVEL TITLES,,"""In the souls of the people"" these ""are filling and growing heavy, growing heavy for the vintage""",The Grapes of Wrath
9/29/98,Final Jeopardy!,HISTORIC AMERICANS,,"He was the proprietor of the ""classical and geological hippodrome"" that became Madison Square Garden",P.T. Barnum
2/4/05,Final Jeopardy!,U.S. POLITICS,,A member of this family has spoken at every Democratic National Convention since 1956,the Kennedys
12/15/05,Final Jeopardy!,ON THE GLOBE,,The way this nation's coastline would fit neatly into the Gulf of Guinea supports the theory of continental drift,Brazil
2/23/07,Final Jeopardy!,LITERATURE,,"This 1877 novel was written ""to induce kindness, sympathy and an understanding treatment of horses""",Black Beauty
7/22/05,Final Jeopardy!,LEADING MEN OF THE MOVIES,,"This actor who turned down the role of Dirty Harry played 142 leading roles, a Guinness record",John Wayne
4/23/10,Final Jeopardy!,WORDS FROM THE FRENCH,,The first known use of this word in the U.S. was in an obituary for wealthy banker Pierre Lorillard in 1843,millionaire
11/7/02,Final Jeopardy!,HISTORIC BOOKS,,"Published in 1611, the Pilgrims in 1620 refused to bring it to America; they brought the Geneva version",King James Bible
3/13/01,Final Jeopardy!,WORLD CAPITALS,,"Lucio Costa designed this new capital in 1957 to hold 500,000 people; today it has more than 3 times that number","Brasilia, Brazil"
12/23/11,Final Jeopardy!,POLITICAL WORDS,,16th century British farmers notching their livestock for identification led to this term for an item set aside for a specific purpose,earmark
5/28/07,Final Jeopardy!,FAMOUS NAMES,,One of his early engineering projects was an iron bridge over the Garonne River at Bordeaux in 1858,Gustave Eiffel
1/14/11,Final Jeopardy!,THE PRESIDENCY,,"From the same state, they're the 2 presidents whose occupations are listed by World Book as ""planter""",George Washington & Thomas Jefferson
3/22/07,Final Jeopardy!,U.S. BODIES OF WATER,,These 2 Great Lakes each border 4 U.S. states,Lake Michigan & Lake Erie
1/17/11,Final Jeopardy!,AUTHORS,,This author whose 1st name is also an English word meaning a saying or motto was the 1st president of the Soviet writers' union,Maxim Gorky
3/20/97,Final Jeopardy!,HISTORIC SHIPS,,The state silver serving pieces in Augusta's executive mansion were salvaged from this ship,U.S.S. Maine
4/30/99,Final Jeopardy!,BRAND NAMES,,This office supply product caught on in the Depression because it made worn & tattered items last longer,Scotch Tape
9/29/97,Final Jeopardy!,RELIGIOUS TITLES,,In 1996 the Roman Catholic church had 48 men with this title in the U.S.; the Anglican church has 2 in England,Archbishop
4/7/08,Final Jeopardy!,ASSASSINATIONS,,"For a short time, Diego Rivera was a suspect in the 1940 murder of this man",Leon Trotsky
12/31/09,Final Jeopardy!,ACADEMY AWARD NOMINATIONS,,"2nd only to Walt Disney's 59, this composer's 45 nominations include the ""The Towering Inferno"" & ""Saving Private Ryan""",John Williams
5/19/04,Final Jeopardy!,TOURIST ATTRACTIONS,,"It occupies the 78 acres of land where Met Stadium, former home of the Vikings & Twins, once stood",the Mall of America
2/8/07,Final Jeopardy!,NOVELS,,It was partly inspired by Owen Chase's narrative of the shipwreck of the whale-ship Essex,Moby-Dick
2/27/97,Final Jeopardy!,U.S. PRESIDENTS,,"As a senator, he shared lodgings with future vice president William Rufus Devane King",James Buchanan
2/17/06,Final Jeopardy!,FORMER WORLD CAPITALS,,In 1998 Czar Nicholas II & his wife Alexandra were laid to rest in this city,St. Petersburg
10/27/92,Final Jeopardy!,WORD & PHRASE ORIGINS,,This phrase meaning the aristocracy is derived from the part of a loaf served to honored guests,the upper crust
9/15/05,Final Jeopardy!,EUROPEAN RULERS,,This man who became a ruler in April 2005 is the great-nephew of the 1926 winner of the Pulitzer Prize for Drama,Prince Albert II of Monaco
2/11/11,Final Jeopardy!,1930s FILMS,,"In this classic film, one of the characters tries to quote the Pythagorean theorem but gets it wrong",The Wizard of Oz
6/22/09,Final Jeopardy!,PRESIDENTS ON FILM,,"Filmed signing a bill into law, in 1895 he became the first U.S. president to appear on moving film",Grover Cleveland
5/21/10,Final Jeopardy!,FROM NOVEL TO FILM,,"First published in 1880 & made into a film in 1907, 1925 & 1959, it was the first work of fiction blessed by a pope",Ben-Hur
11/16/92,Final Jeopardy!,COLLEGES & UNIVERSITIES,,"Henry Moore's sculpture, ""Nuclear Energy"", can be seen on the campus of this university",the University of Chicago
